,id,ident,name,latitude_deg,longitude_deg,country_name,region_name,municipality,iata_code,full_text,score
1080,26879,WMSA,Sultan Abdul Aziz Shah International Airport,3.130579948425293,101.54900360107422,Malaysia,Selangor,Subang,SZB,"Sultan Abdul Aziz Shah International Airport, Subang, Malaysia, SZB",750
1081,3383,KART,Watertown International Airport,43.991901,-76.021698,United States,New York,Watertown,ART,"Watertown International Airport, Watertown, United States, ART",750
1082,20109,KHYS,Hays Regional Airport,38.844521,-99.273148,United States,Kansas,Hays,HYS,"Hays Regional Airport, Hays, United States, HYS",500
1083,20390,KLWB,Greenbrier Valley Airport,37.857914,-80.400438,United States,West Virginia,Lewisburg,LWB,"Greenbrier Valley Airport, Lewisburg, United States, LWB",500
1084,19571,KCWA,Central Wisconsin Airport,44.777448,-89.670238,United States,Wisconsin,Mosinee,CWA,"Central Wisconsin Airport, Mosinee, United States, CWA",500
1085,20883,KPUW,Pullman-Moscow Regional Airport,46.741601,-117.11163,United States,Washington,Pullman,PUW,"Pullman-Moscow Regional Airport, Pullman, United States, PUW",500
1086,4148,LFLY,Lyon Bron Airport,45.727947,4.943991,France,Auvergne-Rhône-Alpes,"Chassieu, Lyon",LYN,"Lyon Bron Airport, Chassieu, Lyon, France, LYN",475
1087,1688,CYCE,Centralia / James T. Field Memorial Aerodrome,43.285599,-81.508301,Canada,Ontario,Huron Park,YCE,"Centralia / James T. Field Memorial Aerodrome, Huron Park, Canada, YCE",250
1088,21228,KTTD,Portland Troutdale Airport,45.54940032959,-122.40100097656,United States,Oregon,Portland,TTD,"Portland Troutdale Airport, Portland, United States, TTD",250
1089,27130,YSBK,Sydney Bankstown Airport,-33.923618,150.990792,Australia,New South Wales,Sydney,BWU,"Sydney Bankstown Airport, Sydney, Australia, BWU",250
1090,1971,CYXZ,Wawa Airport,47.96670150756836,-84.78669738769531,Canada,Ontario,Wawa,YXZ,"Wawa Airport, Wawa, Canada, YXZ",250
1091,6055,SEGS,Seymour Galapagos Ecological Airport,-0.453758,-90.2659,Ecuador,Galapagos Province,Isla Baltra,GPS,"Seymour Galapagos Ecological Airport, Isla Baltra, Ecuador, GPS",150
1092,28116,ENSG,"Sogndal Airport, Haukåsen",61.156101,7.13778,Norway,Vestland,Sogndal,SOG,"Sogndal Airport, Haukåsen, Sogndal, Norway, SOG",150
1093,19236,KADM,Ardmore Municipal Airport,34.30301,-97.0196342,United States,Oklahoma,Ardmore,ADM,"Ardmore Municipal Airport, Ardmore, United States, ADM",50
